show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
72879,TV Show,Tomorrow Is Ours,Christophe Barraud,"Ingrid Chauvin, Charlotte Valandrey, Alexandre Brasseur, Lorie Pester, Samy Gharbi",France,2017-07-17,2017,6.2,1 Seasons,"Crime, Drama",fr,"The story revolves around the people of Sète, France. Their lives are punctuated by family rivalries, romance and scenes from daily life, but also by plots involving police investigations, secrets and betrayals.",2028.11,65,6.2
91759,TV Show,Come Home Love: Lo and Behold,Luo Zhen Yue,"Lau Dan, Angela Tong Ying-Ying, Koni Lui, Pal Sinn Lap-Man, Andrea So",Hong Kong,2017-02-06,2017,5.4,1 Seasons,"Family, Comedy, Drama",cn,"Hung Sue Gan starting from the bottom, established his own logistics company, which is now running smoothly. His only concern now are his three daughters. His eldest daughter has immigrated overseas. His second daughter Hung Yeuk Shui has reached the marriageable age, but has no hopes for marriage anytime soon. She is constantly bickering with her younger sister Hung Sum Yue, who is an honour student, over trivial matters, causing their father to not know whether to laugh or cry. Hung Sue Yan, Hung Sue Gan's brother, moves in with the family, temporarily ending his life as a nomadic photographer. He joins Hung Yeuk Shui's company and encounters Ko Pak Fei, the director of an online shop. The two appear to be former lovers, making for lots of laughter. Since Hung Sue Yan moved in, a series of strange events have occurred in the family. Upon investigation, the source is traced to Lung Ging Fung, a promising young man who is the son of department store mogul Lung Gam Wai.",2027.847,42,5.4
76806,TV Show,Tales of Demons and Gods,高峰,"Su Shangqing, Zhixiao Liu, Zhang Ni, Qiege Qin, 柳川鱼",China,2017-05-09,2017,8.3,1 Seasons,"Animation, Action & Adventure, Sci-Fi & Fantasy",zh,"In his past life, although too weak to protect his home when it counted, out of grave determination Nie Li became the strongest Demon Spiritist and stood at the pinnacle of the martial world. However, he lost his life during the battle with the Sage Emperor and six deity-ranked beasts. His soul was then brought back to when he was still 13 years old. Although he's the weakest in his class with the lowest talent, having only a red soul realm and a weak one at that, with the aid of the vast knowledge which he accumulated from his previous life, he decided to train faster than anyone could expect. He also decided to help those who died nobly in his previous life to train faster as well. He aims to protect the city from the coming future of being devastated by demon beasts and the previous fate of ending up destroyed. He aims to protect his lover, friends, family and fellow citizens who died in the beast assault or its aftermath.",355.782,6,8.3
88939,TV Show,Back to Field,李琳,"Huang Lei, He Jiong",China,2017-01-15,2017,8.0,1 Seasons,Reality,zh,"The show documents the simplistic lifestyle of living away from the bustling city centers. Each season takes place in a different rural part of China. The cast members are only provided with the basic life necessities and have to take care of everything else such as cooking their own meals and building their own furniture. To ""buy"" different cooking ingredients and other tools, they have to complete certain tasks assigned by the production crew, such as planting and harvesting crops. Different guests join the cast in each episode and help out with the daily chores. The goal of the program is to bring the audience along on a slower pace of life and to illustrate the joys of a simple lifestyle.",401.218,9,8.0
94496,TV Show,Tadhana,"Dingdong Dantes, Sigrid Andrea Bernardo, Monti Parungao, Paul Sta. Ana, Nick Olanka, Zig Madamba Dulay",Marian Rivera,Philippines,2017-05-20,2017,7.0,1 Seasons,Drama,tl,"Tadhana is a drama anthology that features the different faces and stories of people who decided to take their chances abroad, with nothing but their hope of a better future.",275.97,1,7.0
75209,TV Show,Apocalipse,"Edson Spinello, Leonardo Miranda, Hamsa Wood, Leandro Neri, Rogério Passos","Igor Rickli, Juliana Knust, Sergio Marone, Paloma Bernardi, Samara Felippo","Brazil, United States of America, Israel, Italy",2017-11-21,2017,7.7,1 Seasons,"Drama, Soap, Action & Adventure, Mystery",pt,A mysterious and spiritual portrayal of one of the most intense and controversial stories in the Holy Bible: the end of the world.,245.765,286,7.7
79481,TV Show,Fights Break Sphere,"Gu Zhenhua, 陈百俊","Liu Sanmu, Zhang Pei, Liu Yuxuan, Su Wan, Zhu Jun",China,2017-01-07,2017,8.6,1 Seasons,"Animation, Action & Adventure, Sci-Fi & Fantasy",zh,"In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?",244.49,41,8.6
75298,TV Show,The Big Catch,"Luiz Felipe Sá, Noa Bressane, Ana Paula Guimarães, Dayse Amaral Dias, Marcus Figueiredo, Luiz Henrique Rios","Mateus Solano, Camila Queiroz, Vanessa Giácomo, Thiago Martins, Mariana Santos",Brazil,2017-06-06,2017,5.7,1 Seasons,"Soap, Comedy",pt,"In this romantic police comedy, after a luxury hotel is robbed by four of its employees, the lives of all people involved are turned upside down. With different motivations, they will do all they can not to be discovered, bringing all sorts of conflicts into the hotel. The confusion escalates when the detective trying to solve the case falls in love with one of the robbers, unaware he is one.",271.875,7,5.7
88298,TV Show,Snack World,Takeshi Mori,"Megumi Han, Ayana Taketatsu, Tadashi Miyazawa, Takehito Koyasu, Tomoyuki Shimura",Japan,2017-04-13,2017,10.0,1 Seasons,"Kids, Animation",ja,"Welcome to SNACK WORLD! This is a nutty universe filled with dreams and adventures. Here, you can find everything from dragons to smart devices to Chup, the hyperactive hero of this story.",186.716,1,10.0
78075,TV Show,The Repair Shop,Ingo Nyakairu,"Steven Fletcher, Dominic Chinea, Brenton West, Chris Shaw, Pete Woods",United Kingdom,2017-03-27,2017,6.7,1 Seasons,Reality,en,"The Repair Shop is a workshop of dreams, where broken or damaged cherished family heirlooms are brought back to life. Furniture restorers, horologists, metal workers, ceramicists, upholsterers and all manner of skilled craftsmen and women have been brought together to work in one extraordinary space, restoring much-loved possessions to their former glory.",226.52,26,6.7
